%time,field.header.seq,field.header.stamp,field.header.frame_id,field.before_tracking,field.after_tracking,field.after_matching,field.after_ransac
1403715273262143000,0,1403715273262143000,,0,0,688,0
1403715273312143000,1,1403715273312143000,,50,50,49,46
1403715273362143000,2,1403715273362143000,,46,46,46,45
1403715273412143000,3,1403715273412143000,,45,45,45,45
1403715273462143000,4,1403715273462143000,,45,45,45,45
1403715273512143000,5,1403715273512143000,,45,45,45,45
1403715273562143000,6,1403715273562143000,,45,45,45,45
1403715273612143000,7,1403715273612143000,,46,46,46,46
1403715273662143000,8,1403715273662143000,,47,47,46,45
1403715273712143000,9,1403715273712143000,,45,45,44,44
1403715273762143000,10,1403715273762143000,,45,45,44,44
1403715273812143000,11,1403715273812143000,,44,44,44,44
1403715273862143000,12,1403715273862143000,,45,45,45,45
1403715273912143000,13,1403715273912143000,,45,45,45,45
1403715273962143000,14,1403715273962143000,,45,45,45,45
1403715274012143000,15,1403715274012143000,,45,45,44,44
1403715274062143000,16,1403715274062143000,,44,44,44,44
1403715274112143000,17,1403715274112143000,,45,45,45,45
1403715274162143000,18,1403715274162143000,,46,46,46,46
1403715274212143000,19,1403715274212143000,,46,46,44,44
1403715274262143000,20,1403715274262143000,,44,44,44,43
1403715274312143000,21,1403715274312143000,,44,44,44,42
1403715274362143000,22,1403715274362143000,,44,44,44,43
1403715274412143000,23,1403715274412143000,,44,44,44,43
1403715274462143000,24,1403715274462143000,,44,44,44,43
1403715274512143000,25,1403715274512143000,,44,44,44,43
1403715274562143000,26,1403715274562143000,,45,45,45,44
1403715274612143000,27,1403715274612143000,,45,45,45,43
1403715274662143000,28,1403715274662143000,,45,45,45,43
1403715274712143000,29,1403715274712143000,,44,44,42,41
1403715274762143000,30,1403715274762143000,,44,44,44,44
1403715274812143000,31,1403715274812143000,,45,45,45,45
1403715274862143000,32,1403715274862143000,,47,47,43,42
1403715274912143000,33,1403715274912143000,,44,44,43,43
1403715274962143000,34,1403715274962143000,,43,43,43,43
1403715275012143000,35,1403715275012143000,,43,43,43,43
1403715275062143000,36,1403715275062143000,,45,45,45,44
1403715275112143000,37,1403715275112143000,,45,45,44,44
1403715275162143000,38,1403715275162143000,,44,44,44,44
1403715275212143000,39,1403715275212143000,,44,44,44,44
1403715275262143000,40,1403715275262143000,,45,45,45,44
1403715275312143000,41,1403715275312143000,,44,44,44,44
1403715275362143000,42,1403715275362143000,,45,45,44,44
1403715275412143000,43,1403715275412143000,,44,44,44,44
1403715275462143000,44,1403715275462143000,,44,44,44,44
1403715275512143000,45,1403715275512143000,,44,44,44,43
1403715275562143000,46,1403715275562143000,,43,43,43,43
1403715275612143000,47,1403715275612143000,,43,43,43,43
1403715275662143000,48,1403715275662143000,,43,43,43,43
1403715275712143000,49,1403715275712143000,,44,44,44,43
1403715275762143000,50,1403715275762143000,,44,44,43,42
1403715275812143000,51,1403715275812143000,,42,42,42,42
1403715275862143000,52,1403715275862143000,,42,42,42,42
1403715275912143000,53,1403715275912143000,,44,44,44,43
1403715275962143000,54,1403715275962143000,,44,44,44,43
1403715276012143000,55,1403715276012143000,,44,44,42,42
1403715276062143000,56,1403715276062143000,,43,43,43,43
1403715276112143000,57,1403715276112143000,,43,43,42,41
1403715276162143000,58,1403715276162143000,,43,43,43,43
1403715276212143000,59,1403715276212143000,,44,44,44,43
1403715276262143000,60,1403715276262143000,,43,43,43,43
1403715276312143000,61,1403715276312143000,,44,44,43,42
1403715276362143000,62,1403715276362143000,,44,44,44,43
1403715276412143000,63,1403715276412143000,,44,44,44,43
1403715276462143000,64,1403715276462143000,,44,44,44,43
1403715276512143000,65,1403715276512143000,,45,45,44,44
1403715276562143000,66,1403715276562143000,,44,44,44,43
1403715276612143000,67,1403715276612143000,,45,45,44,44
1403715276662143000,68,1403715276662143000,,45,45,43,42
1403715276712143000,69,1403715276712143000,,42,42,42,41
1403715276762143000,70,1403715276762143000,,43,43,42,42
1403715276812143000,71,1403715276812143000,,45,45,43,42
1403715276862143000,72,1403715276862143000,,44,44,44,44
1403715276912143000,73,1403715276912143000,,44,44,44,44
1403715276962143000,74,1403715276962143000,,45,45,44,43
1403715277012143000,75,1403715277012143000,,45,45,45,44
1403715277062143000,76,1403715277062143000,,47,47,45,45
1403715277112143000,77,1403715277112143000,,45,45,43,43
1403715277162143000,78,1403715277162143000,,44,44,44,44
1403715277212143000,79,1403715277212143000,,44,44,44,44
1403715277262143000,80,1403715277262143000,,44,44,44,44
1403715277312143000,81,1403715277312143000,,44,44,44,44
1403715277362143000,82,1403715277362143000,,45,45,44,43
1403715277412143000,83,1403715277412143000,,44,44,44,43
1403715277462143000,84,1403715277462143000,,45,45,44,44
1403715277512143000,85,1403715277512143000,,45,45,44,43
1403715277562143000,86,1403715277562143000,,46,46,45,44
1403715277612143000,87,1403715277612143000,,45,45,45,43
