%time,field.header.seq,field.header.stamp,field.header.frame_id,field.before_tracking,field.after_tracking,field.after_matching,field.after_ransac
1413393887655760500,9728,1413393887655760500,,38,38,38,37
1413393887705760500,9729,1413393887705760500,,38,38,37,37
1413393887755760500,9730,1413393887755760500,,38,38,38,38
1413393887805760500,9731,1413393887805760500,,38,38,37,36
1413393887855760500,9732,1413393887855760500,,38,38,37,37
1413393887905760500,9733,1413393887905760500,,38,38,37,34
1413393887955760500,9734,1413393887955760500,,36,36,36,36
1413393888005760500,9735,1413393888005760500,,37,37,37,37
1413393888055760500,9736,1413393888055760500,,37,37,37,37
1413393888105760500,9737,1413393888105760500,,38,38,38,35
1413393888155760500,9738,1413393888155760500,,37,37,37,36
1413393888205760500,9739,1413393888205760500,,37,37,36,33
1413393888255760500,9740,1413393888255760500,,34,34,33,33
1413393888305760500,9741,1413393888305760500,,35,35,35,35
1413393888355760500,9742,1413393888355760500,,36,36,35,34
1413393888405760500,9743,1413393888405760500,,37,37,36,35
1413393888455760500,9744,1413393888455760500,,36,36,36,35
1413393888505760500,9745,1413393888505760500,,37,37,37,36
1413393888555760500,9746,1413393888555760500,,38,38,37,36
1413393888605760500,9747,1413393888605760500,,38,38,37,36
1413393888655760500,9748,1413393888655760500,,37,37,37,35
1413393888705760500,9749,1413393888705760500,,36,36,35,35
1413393888755760500,9750,1413393888755760500,,37,37,35,34
1413393888805760500,9751,1413393888805760500,,35,35,35,33
1413393888855760500,9752,1413393888855760500,,35,35,35,35
1413393888905760500,9753,1413393888905760500,,36,36,35,35
1413393888955760500,9754,1413393888955760500,,37,37,37,36
1413393889005760500,9755,1413393889005760500,,37,37,37,35
1413393889055760500,9756,1413393889055760500,,37,37,37,35
1413393889105760500,9757,1413393889105760500,,36,36,35,34
1413393889155760500,9758,1413393889155760500,,36,36,36,34
1413393889205760500,9759,1413393889205760500,,37,37,37,37
1413393889255760500,9760,1413393889255760500,,38,38,37,34
1413393889305760500,9761,1413393889305760500,,37,37,37,35
1413393889355760500,9762,1413393889355760500,,38,38,38,36
1413393889405760500,9763,1413393889405760500,,40,40,39,35
1413393889455760500,9764,1413393889455760500,,38,38,35,32
1413393889505760500,9765,1413393889505760500,,36,36,36,33
1413393889555760500,9766,1413393889555760500,,36,36,35,33
1413393889605760500,9767,1413393889605760500,,38,38,37,34
1413393889655760500,9768,1413393889655760500,,40,40,39,34
1413393889705760500,9769,1413393889705760500,,41,41,40,23
1413393889755760500,9770,1413393889755760500,,37,37,32,25
1413393889805760500,9771,1413393889805760500,,40,40,36,28
1413393889855760500,9772,1413393889855760500,,39,39,39,29
1413393889905760500,9773,1413393889905760500,,49,49,47,21
1413393889955760500,9774,1413393889955760500,,51,48,46,40
1413393890005760500,9775,1413393890005760500,,52,47,33,28
1413393890055760500,9776,1413393890055760500,,38,38,37,33
1413393890105760500,9777,1413393890105760500,,49,49,48,48
1413393890155760500,9778,1413393890155760500,,49,49,47,40
1413393890205760500,9779,1413393890205760500,,53,53,48,47
1413393890255760500,9780,1413393890255760500,,53,53,51,49
1413393890305760500,9781,1413393890305760500,,58,58,56,54
1413393890355760500,9782,1413393890355760500,,60,60,59,43
1413393890405760500,9783,1413393890405760500,,55,55,53,49
1413393890455760500,9784,1413393890455760500,,58,58,57,45
1413393890505760500,9785,1413393890505760500,,58,58,57,51
1413393890555760500,9786,1413393890555760500,,55,55,54,51
1413393890605760500,9787,1413393890605760500,,57,57,55,54
1413393890655760500,9788,1413393890655760500,,55,55,55,55
1413393890705760500,9789,1413393890705760500,,56,56,55,55
1413393890755760500,9790,1413393890755760500,,57,56,56,56
1413393890805760500,9791,1413393890805760500,,60,60,60,55
1413393890855760500,9792,1413393890855760500,,61,58,58,57
1413393890905760500,9793,1413393890905760500,,63,63,63,63
1413393890955760500,9794,1413393890955760500,,63,62,61,61
1413393891005760500,9795,1413393891005760500,,61,61,61,61
1413393891055760500,9796,1413393891055760500,,61,61,60,60
1413393891105760500,9797,1413393891105760500,,62,62,62,62
1413393891155760500,9798,1413393891155760500,,61,61,61,61
1413393891205760500,9799,1413393891205760500,,62,62,61,59
1413393891255760500,9800,1413393891255760500,,63,63,61,61
1413393891305760500,9801,1413393891305760500,,62,62,60,54
1413393891355760500,9802,1413393891355760500,,57,56,55,39
1413393891405760500,9803,1413393891405760500,,45,44,44,34
1413393891455760500,9804,1413393891455760500,,49,43,42,29
1413393891505760500,9805,1413393891505760500,,45,42,41,32
1413393891555760500,9806,1413393891555760500,,57,56,52,44
1413393891605760500,9807,1413393891605760500,,62,62,62,56
1413393891655760500,9808,1413393891655760500,,63,63,63,62
1413393891705760500,9809,1413393891705760500,,64,64,64,64
1413393891755760500,9810,1413393891755760500,,64,64,64,64
1413393891805760500,9811,1413393891805760500,,64,64,64,46
1413393891855760500,9812,1413393891855760500,,62,62,62,54
1413393891905760500,9813,1413393891905760500,,64,64,64,32
1413393891955760500,9814,1413393891955760500,,60,52,52,28
1413393892005760500,9815,1413393892005760500,,53,44,44,31
1413393892055760500,9816,1413393892055760500,,48,43,42,30
1413393892105760500,9817,1413393892105760500,,48,33,21,13
1413393892155760500,9818,1413393892155760500,,32,32,30,25
1413393892205760500,9819,1413393892205760500,,43,43,42,36
1413393892255760500,9820,1413393892255760500,,49,46,36,26
1413393892305760500,9821,1413393892305760500,,45,45,45,30
1413393892355760500,9822,1413393892355760500,,50,50,48,41
1413393892405760500,9823,1413393892405760500,,53,52,47,36
1413393892455760500,9824,1413393892455760500,,57,57,55,43
1413393892505760500,9825,1413393892505760500,,56,56,56,40
1413393892555760500,9826,1413393892555760500,,54,54,51,47
1413393892605760500,9827,1413393892605760500,,57,56,54,44
1413393892655760500,9828,1413393892655760500,,61,57,54,36
1413393892705760500,9829,1413393892705760500,,59,55,52,24
1413393892755760500,9830,1413393892755760500,,57,56,55,38
1413393892805760500,9831,1413393892805760500,,60,60,59,39
1413393892855760500,9832,1413393892855760500,,60,60,56,36
1413393892905760500,9833,1413393892905760500,,62,62,62,36
1413393892955760500,9834,1413393892955760500,,61,61,61,51
1413393893005760500,9835,1413393893005760500,,61,60,55,43
1413393893055760500,9836,1413393893055760500,,59,59,58,47
1413393893105760500,9837,1413393893105760500,,62,62,61,61
1413393893155760500,9838,1413393893155760500,,64,64,64,61
1413393893205760500,9839,1413393893205760500,,63,63,62,30
1413393893255760500,9840,1413393893255760500,,57,57,57,44
1413393893305760500,9841,1413393893305760500,,60,60,60,27
1413393893355760500,9842,1413393893355760500,,56,56,55,37
1413393893405760500,9843,1413393893405760500,,58,58,57,29
1413393893455760500,9844,1413393893455760500,,61,61,59,23
1413393893505760500,9845,1413393893505760500,,60,60,58,41
1413393893555760500,9846,1413393893555760500,,60,60,58,52
1413393893605760500,9847,1413393893605760500,,64,61,59,54
1413393893655760500,9848,1413393893655760500,,62,61,61,43
1413393893705760500,9849,1413393893705760500,,60,59,58,52
1413393893755760500,9850,1413393893755760500,,61,57,57,49
1413393893805760500,9851,1413393893805760500,,62,61,59,52
1413393893855760500,9852,1413393893855760500,,61,58,52,41
1413393893905760500,9853,1413393893905760500,,62,62,60,21
1413393893955760500,9854,1413393893955760500,,58,57,53,27
1413393894005760500,9855,1413393894005760500,,58,57,50,26
1413393894055760500,9856,1413393894055760500,,53,53,52,42
1413393894105760500,9857,1413393894105760500,,58,58,54,43
1413393894155760500,9858,1413393894155760500,,57,56,55,53
1413393894205760500,9859,1413393894205760500,,60,58,54,49
1413393894255760500,9860,1413393894255760500,,55,55,54,51
1413393894305760500,9861,1413393894305760500,,58,58,58,55
1413393894355760500,9862,1413393894355760500,,61,60,59,58
1413393894405760500,9863,1413393894405760500,,63,62,61,56
1413393894455760500,9864,1413393894455760500,,62,61,60,47
1413393894505760500,9865,1413393894505760500,,58,58,55,47
1413393894555760500,9866,1413393894555760500,,56,56,53,43
1413393894605760500,9867,1413393894605760500,,52,52,52,26
1413393894655760500,9868,1413393894655760500,,48,48,48,44
1413393894705760500,9869,1413393894705760500,,48,48,44,43
1413393894755760500,9870,1413393894755760500,,46,46,46,44
1413393894805760500,9871,1413393894805760500,,49,48,48,45
1413393894855760500,9872,1413393894855760500,,49,47,46,43
1413393894905760500,9873,1413393894905760500,,49,48,46,40
1413393894955760500,9874,1413393894955760500,,49,48,48,43
1413393895005760500,9875,1413393895005760500,,52,51,50,45
1413393895055760500,9876,1413393895055760500,,54,54,53,48
1413393895105760500,9877,1413393895105760500,,57,56,56,53
1413393895155760500,9878,1413393895155760500,,59,59,59,46
1413393895205760500,9879,1413393895205760500,,58,55,54,50
1413393895255760500,9880,1413393895255760500,,58,55,55,50
1413393895305760500,9881,1413393895305760500,,58,56,55,51
1413393895355760500,9882,1413393895355760500,,58,57,55,49
1413393895405760500,9883,1413393895405760500,,56,53,50,45
1413393895455760500,9884,1413393895455760500,,56,54,50,47
1413393895505760500,9885,1413393895505760500,,56,56,52,51
1413393895555760500,9886,1413393895555760500,,55,53,49,42
1413393895605760500,9887,1413393895605760500,,51,49,49,36
1413393895655760500,9888,1413393895655760500,,49,45,45,41
1413393895705760500,9889,1413393895705760500,,51,50,47,41
1413393895755760500,9890,1413393895755760500,,52,50,49,26
1413393895805760500,9891,1413393895805760500,,49,46,43,27
1413393895855760500,9892,1413393895855760500,,44,40,40,31
1413393895905760500,9893,1413393895905760500,,40,40,38,30
1413393895955760500,9894,1413393895955760500,,39,39,38,13
1413393896005760500,9895,1413393896005760500,,38,38,36,17
1413393896055760500,9896,1413393896055760500,,33,29,28,17
1413393896105760500,9897,1413393896105760500,,32,30,28,11
1413393896155760500,9898,1413393896155760500,,38,36,33,15
