%time,field.header.seq,field.header.stamp,field.header.frame_id,field.before_tracking,field.after_tracking,field.after_matching,field.after_ransac
1403636580913555500,23,1403636580913555500,,42,42,39,27
1403636580963555500,24,1403636580963555500,,47,47,43,30
1403636581013555500,25,1403636581013555500,,48,48,48,45
1403636581063555500,26,1403636581063555500,,57,57,55,52
1403636581113555500,27,1403636581113555500,,60,57,55,50
1403636581163555500,28,1403636581163555500,,60,59,59,55
1403636581213555500,29,1403636581213555500,,64,61,59,47
1403636581263555500,30,1403636581263555500,,62,62,56,49
1403636581313555500,31,1403636581313555500,,64,64,62,59
1403636581363555500,32,1403636581363555500,,62,62,60,58
1403636581413555500,33,1403636581413555500,,62,62,62,62
1403636581463555500,34,1403636581463555500,,61,61,61,59
1403636581513555500,35,1403636581513555500,,59,58,58,55
1403636581563555500,36,1403636581563555500,,59,58,58,50
1403636581613555500,37,1403636581613555500,,62,61,60,57
1403636581663555500,38,1403636581663555500,,64,64,64,58
1403636581713555500,39,1403636581713555500,,62,56,53,44
1403636581763555500,40,1403636581763555500,,60,60,59,55
1403636581813555500,41,1403636581813555500,,59,59,56,42
1403636581863555500,42,1403636581863555500,,58,57,48,41
1403636581913555500,43,1403636581913555500,,51,50,43,39
1403636581963555500,44,1403636581963555500,,48,48,43,29
1403636582013555500,45,1403636582013555500,,45,43,39,26
1403636582063555500,46,1403636582063555500,,37,36,34,30
1403636582113555500,47,1403636582113555500,,37,34,30,27
1403636582163555500,48,1403636582163555500,,37,34,31,28
1403636582213555500,49,1403636582213555500,,33,32,29,23
1403636582263555500,50,1403636582263555500,,35,35,34,34
1403636582313555500,51,1403636582313555500,,38,37,34,28
1403636582363555500,52,1403636582363555500,,37,37,35,30
1403636582413555500,53,1403636582413555500,,37,37,37,28
1403636582463555500,54,1403636582463555500,,37,37,35,30
1403636582513555500,55,1403636582513555500,,39,39,37,31
1403636582563555500,56,1403636582563555500,,44,44,39,38
1403636582613555500,57,1403636582613555500,,51,51,48,45
1403636582663555500,58,1403636582663555500,,55,55,50,38
1403636582713555500,59,1403636582713555500,,49,49,48,42
1403636582763555500,60,1403636582763555500,,55,55,54,51
1403636582813555500,61,1403636582813555500,,57,57,57,48
1403636582863555500,62,1403636582863555500,,61,58,58,54
1403636582913555500,63,1403636582913555500,,63,63,62,58
1403636582963555500,64,1403636582963555500,,65,63,59,44
1403636583013555500,65,1403636583013555500,,59,59,59,53
1403636583063555500,66,1403636583063555500,,64,64,64,60
1403636583113555500,67,1403636583113555500,,64,64,63,61
1403636583163555500,68,1403636583163555500,,65,65,65,65
1403636583213555500,69,1403636583213555500,,64,64,61,59
1403636583263555500,70,1403636583263555500,,62,61,60,55
1403636583313555500,71,1403636583313555500,,62,62,61,61
1403636583363555500,72,1403636583363555500,,61,60,60,54
1403636583413555500,73,1403636583413555500,,63,61,59,54
1403636583463555500,74,1403636583463555500,,62,61,59,51
1403636583513555500,75,1403636583513555500,,62,62,60,47
